header
1	[ 0.07295876  0.11360912 -0.00050145]
2	[ 0.07305412  0.11181833 -0.00030781]
3	[ 0.07297094  0.11002353 -0.00021856]
4	[ 0.07303591  0.10827993 -0.0001094 ]
5	[ 7.3007077e-02  1.0655844e-01 -8.4224681e-05]
6	[ 7.3032498e-02  1.0484635e-01 -2.3211338e-05]
7	[ 7.3040776e-02  1.0314522e-01 -1.4425854e-05]
8	[7.3037095e-02 1.0144506e-01 8.4521698e-06]
9	[7.3058456e-02 9.9750221e-02 1.5512460e-05]
10	[7.3040962e-02 9.8053753e-02 1.9261173e-05]
11	[7.3065534e-02 9.6360937e-02 2.7673866e-05]
12	[7.3043451e-02 9.4658837e-02 2.3255956e-05]
13	[7.3067367e-02 9.2959821e-02 3.3244214e-05]
14	[7.3045231e-02 9.1257781e-02 2.5694695e-05]
15	[7.3066495e-02 8.9558654e-02 3.6873047e-05]
16	[7.3046744e-02 8.7856650e-02 2.8672835e-05]
17	[7.3064551e-02 8.6157344e-02 4.0268227e-05]
18	[7.3048159e-02 8.4455475e-02 3.2649688e-05]
19	[7.3062405e-02 8.2756013e-02 4.3972155e-05]
20	[7.3049501e-02 8.1054308e-02 3.7540733e-05]
21	[7.3060505e-02 7.9354666e-02 4.8143684e-05]
22	[7.3050797e-02 7.7653058e-02 4.3154967e-05]
23	[7.3059104e-02 7.5953104e-02 5.2833035e-05]
24	[7.3052116e-02 7.4251398e-02 4.9338967e-05]
25	[7.305833e-02 7.255092e-02 5.806508e-05]
26	[7.305357e-02 7.084885e-02 5.600022e-05]
27	[7.305828e-02 6.914753e-02 6.385707e-05]
28	[7.3055290e-02 6.7444697e-02 6.3093146e-05]
29	[7.3059030e-02 6.5742105e-02 7.0218070e-05]
30	[7.3057465e-02 6.4038031e-02 7.0598689e-05]
31	[7.3060676e-02 6.2333655e-02 7.7145065e-05]
32	[7.306028e-02 6.062774e-02 7.850721e-05]
33	[7.3063321e-02 5.8920946e-02 8.4619911e-05]
34	[7.3063910e-02 5.7212494e-02 8.6805521e-05]
35	[7.3067084e-02 5.5502541e-02 9.2606402e-05]
36	[7.3068544e-02 5.3790737e-02 9.5467425e-05]
37	[0.0730721  0.05207676 0.00010105]
38	[0.07307437 0.05036068 0.00010445]
39	[0.07307849 0.04864173 0.00010987]
40	[0.07308155 0.04692034 0.00011367]
41	[0.0730864  0.04519534 0.00011895]
42	[0.07309023 0.04346751 0.00012304]
43	[0.07309593 0.04173531 0.00012818]
44	[0.07310055 0.03999984 0.00013243]
45	[0.07310718 0.0382592  0.00013739]
46	[0.07311259 0.03651482 0.00014167]
47	[0.07312022 0.03476449 0.00014639]
48	[0.07312641 0.03300988 0.00015058]
49	[0.07313506 0.03124859 0.00015497]
50	[0.07314199 0.02948247 0.00015893]
51	[0.07315168 0.02770897 0.00016289]
52	[0.07315931 0.02593007 0.00016647]
53	[0.07316998 0.02414321 0.00016984]
54	[0.07317827 0.02235039 0.00017286]
55	[0.07318985 0.02054916 0.00017545]
56	[0.07319871 0.01874149 0.00017762]
57	[0.07321109 0.01692511 0.00017925]
58	[0.07322039 0.01510202 0.0001799 ]
59	[0.07323318 0.01327018 0.00017956]
60	[0.07324208 0.0114308  0.00018258]
61	[0.07325453 0.00958223 0.00019016]
62	[0.07326359 0.00772593 0.00019512]
63	[0.0732767  0.00585337 0.00019086]
64	[0.07328583 0.00397191 0.00018392]
65	[0.07329883 0.00208178 0.00018083]
66	[0.07330814 0.00018382 0.00018076]
67	[ 0.0733211  -0.00172195  0.00017949]
68	[ 0.07333001 -0.00363585  0.00017768]
69	[ 0.07334229 -0.00555725  0.00017512]
