header
1	[ 0.02732442  0.04254944 -0.00018804]
2	[ 0.02736018  0.04187877 -0.00011543]
3	[ 2.7328989e-02  4.1206606e-02 -8.1961727e-05]
4	[ 2.7353352e-02  4.0553637e-02 -4.1026025e-05]
5	[ 2.7342537e-02  3.9908960e-02 -3.1584255e-05]
6	[ 2.7352072e-02  3.9267808e-02 -8.7042517e-06]
7	[ 2.7355175e-02  3.8630769e-02 -5.4096949e-06]
8	[2.7353793e-02 3.7994087e-02 3.1695636e-06]
9	[2.7361805e-02 3.7359405e-02 5.8171722e-06]
10	[2.7355246e-02 3.6724113e-02 7.2229395e-06]
11	[2.7364459e-02 3.6090191e-02 1.0377700e-05]
12	[2.7356178e-02 3.5452787e-02 8.7209837e-06]
13	[2.7365146e-02 3.4816541e-02 1.2466579e-05]
14	[2.7356846e-02 3.4179162e-02 9.6355107e-06]
15	[2.7364820e-02 3.3542875e-02 1.3827394e-05]
16	[2.7357414e-02 3.2905508e-02 1.0752313e-05]
17	[2.7364090e-02 3.2269154e-02 1.5100584e-05]
18	[2.7357943e-02 3.1631839e-02 1.2243634e-05]
19	[2.7363285e-02 3.0995427e-02 1.6489559e-05]
20	[2.7358448e-02 3.0358173e-02 1.4077776e-05]
21	[2.7362576e-02 2.9721694e-02 1.8053881e-05]
22	[2.7358934e-02 2.9084474e-02 1.6183112e-05]
23	[2.7362050e-02 2.8447879e-02 1.9812389e-05]
24	[2.7359428e-02 2.7810626e-02 1.8502113e-05]
25	[2.7361760e-02 2.7173832e-02 2.1774405e-05]
26	[2.7359972e-02 2.6536440e-02 2.1000082e-05]
27	[2.7361738e-02 2.5899328e-02 2.3946403e-05]
28	[2.7360620e-02 2.5261652e-02 2.3659930e-05]
29	[2.7362019e-02 2.4624066e-02 2.6331774e-05]
30	[2.7361436e-02 2.3985924e-02 2.6474509e-05]
31	[2.7362637e-02 2.3347668e-02 2.8929398e-05]
32	[2.7362488e-02 2.2708837e-02 2.9440205e-05]
33	[2.7363630e-02 2.2069674e-02 3.1732467e-05]
34	[2.736385e-02 2.142989e-02 3.255207e-05]
35	[2.7365042e-02 2.0789543e-02 3.4727400e-05]
36	[2.7365588e-02 2.0148503e-02 3.5800287e-05]
37	[2.7366921e-02 1.9506646e-02 3.7893020e-05]
38	[2.7367773e-02 1.8864002e-02 3.9167528e-05]
39	[2.7369320e-02 1.8220281e-02 4.1199528e-05]
40	[2.7370464e-02 1.7575644e-02 4.2626991e-05]
41	[2.7372284e-02 1.6929654e-02 4.4607656e-05]
42	[2.7373722e-02 1.6282605e-02 4.6141213e-05]
43	[2.7375858e-02 1.5633915e-02 4.8068046e-05]
44	[2.737759e-02 1.498400e-02 4.966134e-05]
45	[2.7380079e-02 1.4332148e-02 5.1521016e-05]
46	[2.7382106e-02 1.3678888e-02 5.3127147e-05]
47	[2.7384968e-02 1.3023403e-02 5.4896689e-05]
48	[2.7387286e-02 1.2366310e-02 5.6467263e-05]
49	[2.7390534e-02 1.1706711e-02 5.8114962e-05]
50	[2.7393132e-02 1.1045298e-02 5.9598799e-05]
51	[2.7396763e-02 1.0381121e-02 6.1083614e-05]
52	[2.7399627e-02 9.7149191e-03 6.2424413e-05]
53	[2.7403628e-02 9.0457322e-03 6.3691186e-05]
54	[2.7406735e-02 8.3743129e-03 6.4821717e-05]
55	[2.7411079e-02 7.6997373e-03 6.5793996e-05]
56	[2.7414400e-02 7.0227464e-03 6.6606670e-05]
57	[2.7419044e-02 6.3424893e-03 6.7220157e-05]
58	[2.7422531e-02 5.6597143e-03 6.7462788e-05]
59	[2.7427329e-02 4.9736621e-03 6.7335131e-05]
60	[2.7430667e-02 4.2847805e-03 6.8467009e-05]
61	[2.7435334e-02 3.5924525e-03 7.1309099e-05]
62	[2.7438728e-02 2.8972249e-03 7.3171861e-05]
63	[2.7443646e-02 2.1959008e-03 7.1571318e-05]
64	[2.7447067e-02 1.4912455e-03 6.8968300e-05]
65	[2.7451947e-02 7.8333530e-04 6.7811197e-05]
66	[2.7455436e-02 7.2489536e-05 6.7784182e-05]
67	[ 2.7460296e-02 -6.4128882e-04  6.7307061e-05]
68	[ 2.7463637e-02 -1.3581114e-03  6.6630964e-05]
69	[ 2.7468244e-02 -2.0777478e-03  6.5668362e-05]
70	[ 2.7471391e-02 -2.8003994e-03  6.4704305e-05]
71	[ 2.7475692e-02 -3.5256376e-03  6.3435058e-05]
72	[ 2.747862e-02 -4.253804e-03  6.222185e-05]
73	[ 2.7482564e-02 -4.9843006e-03  6.0734950e-05]
74	[ 2.7485263e-02 -5.7175858e-03  5.9336086e-05]
75	[ 2.7488809e-02 -6.4529334e-03  5.7686117e-05]
76	[ 2.7491273e-02 -7.1908874e-03  5.6154593e-05]
77	[ 2.7494393e-02 -7.9306392e-03  5.4388216e-05]
78	[ 2.7496634e-02 -8.6727832e-03  5.2770345e-05]
79	[ 2.7499307e-02 -9.4164740e-03  5.0927640e-05]
80	[ 2.7501341e-02 -1.0162318e-02  4.9267233e-05]
81	[ 2.7503558e-02 -1.0909480e-02  4.7380301e-05]
82	[ 2.7505411e-02 -1.1658538e-02  4.5720648e-05]
83	[ 2.7507165e-02 -1.2408713e-02  4.3811171e-05]
84	[ 2.7508875e-02 -1.3160520e-02  4.2197156e-05]
85	[ 2.7510174e-02 -1.3913274e-02  4.0272811e-05]
86	[ 2.7511779e-02 -1.4667385e-02  3.8754701e-05]
