header
1	[ 0.10955808  0.17059806 -0.00075217]
2	[ 0.10970112  0.16790886 -0.00046172]
3	[ 0.10957635  0.16521364 -0.00032785]
4	[ 0.10967381  0.16259524 -0.0001641 ]
5	[ 1.0963055e-01  1.6001000e-01 -1.2633702e-04]
6	[ 1.0966869e-01  1.5743884e-01 -3.4817007e-05]
7	[ 1.0968110e-01  1.5488413e-01 -2.1638780e-05]
8	[1.0967558e-01 1.5233088e-01 1.2678254e-05]
9	[1.0970762e-01 1.4978561e-01 2.3268689e-05]
10	[1.0968138e-01 1.4723790e-01 2.8891758e-05]
11	[1.0971823e-01 1.4469565e-01 4.1510801e-05]
12	[1.09685116e-01 1.42139480e-01 3.48839349e-05]
13	[1.0972098e-01 1.3958794e-01 4.9866318e-05]
14	[1.0968778e-01 1.3703185e-01 3.8542043e-05]
15	[1.0971968e-01 1.3448013e-01 5.5309574e-05]
16	[1.09690055e-01 1.31924108e-01 4.30092514e-05]
17	[1.0971676e-01 1.2937212e-01 6.0402337e-05]
18	[1.0969218e-01 1.2681629e-01 4.8974536e-05]
19	[1.0971354e-01 1.2426408e-01 6.5958237e-05]
20	[1.0969419e-01 1.2170850e-01 5.6311103e-05]
21	[1.0971070e-01 1.1915601e-01 7.2215524e-05]
22	[1.09696135e-01 1.16600566e-01 6.47324487e-05]
23	[1.0970860e-01 1.1404762e-01 7.9249556e-05]
24	[1.0969812e-01 1.1149204e-01 7.4008451e-05]
25	[1.0970744e-01 1.0893829e-01 8.7097622e-05]
26	[1.09700285e-01 1.06382161e-01 8.40003268e-05]
27	[1.09707355e-01 1.03827149e-01 9.57856100e-05]
28	[1.0970288e-01 1.0126987e-01 9.4639719e-05]
29	[1.0970848e-01 9.8712966e-02 1.0532710e-04]
30	[1.09706141e-01 9.61538330e-02 1.05898034e-04]
31	[0.10971095 0.09359425 0.00011572]
32	[0.10971035 0.09103235 0.00011776]
33	[0.10971492 0.08846913 0.00012693]
34	[0.1097158  0.08590343 0.00013021]
35	[0.10972057 0.08333547 0.00013891]
36	[0.10972276 0.08076474 0.0001432 ]
37	[0.10972808 0.07819076 0.00015157]
38	[0.10973149 0.07561361 0.00015667]
39	[0.10973768 0.07303216 0.0001648 ]
40	[0.10974225 0.07044704 0.00017051]
41	[0.10974953 0.06785652 0.00017843]
42	[0.10975529 0.06526176 0.00018456]
43	[0.10976383 0.06266043 0.00019227]
44	[0.10977076 0.0600542  0.00019865]
45	[0.10978071 0.05744023 0.00020608]
46	[0.10978882 0.05482062 0.00021251]
47	[0.10980027 0.05219211 0.00021959]
48	[0.10980954 0.04955717 0.00022587]
49	[0.10982253 0.04691221 0.00023246]
50	[0.10983293 0.04425999 0.0002384 ]
51	[0.10984746 0.04159672 0.00024433]
52	[0.10985891 0.03892535 0.0002497 ]
53	[0.10987491 0.03624203 0.00025476]
54	[0.10988735 0.03354978 0.00025929]
55	[0.10990472 0.03084492 0.00026318]
56	[0.109918   0.02813039 0.00026643]
57	[0.10993657 0.02540279 0.00026888]
58	[0.10995052 0.02266512 0.00026985]
59	[0.10996971 0.01991435 0.00026934]
60	[0.10998306 0.01715226 0.00027387]
61	[0.11000174 0.01437638 0.00028524]
62	[0.11001531 0.0115889  0.00029269]
63	[0.11003498 0.00877701 0.00028629]
64	[0.11004867 0.0059518  0.00027587]
65	[0.11006819 0.00311357 0.00027124]
66	[0.11008214 0.00026359 0.00027114]
67	[ 0.11010158 -0.00259811  0.00026923]
68	[ 0.11011495 -0.00547199  0.00026652]
69	[ 0.11013337 -0.00835713  0.00026267]
70	[ 0.11014596 -0.01125433  0.00025882]
71	[ 0.11016317 -0.01416187  0.00025374]
72	[ 0.11017488 -0.01708113  0.00024889]
73	[ 0.11019065 -0.02000971  0.00024294]
74	[ 0.11020145 -0.02294944  0.00023734]
75	[ 0.11021563 -0.02589742  0.00023074]
76	[ 0.1102255  -0.02885582  0.00022462]
77	[ 0.11023798 -0.03182143  0.00021755]
78	[ 0.11024693 -0.03479659  0.00021108]
79	[ 0.11025763 -0.03777795  0.00020371]
80	[ 0.11026576 -0.04076791  0.00019707]
81	[ 0.11027463 -0.04376315  0.00018952]
82	[ 0.11028204 -0.04676598  0.00018288]
83	[ 0.11028906 -0.04977327  0.00017524]
84	[ 0.1102959  -0.05278709  0.00016879]
85	[ 0.11030109 -0.05580469  0.00016109]
86	[ 0.11030751 -0.05882773  0.00015502]
87	[ 0.11031091 -0.06185403  0.00014722]
88	[ 0.11031707 -0.06488466  0.00014177]
89	[ 0.11031877 -0.06791819  0.00013372]
90	[ 0.11032479 -0.07095493  0.00012923]
91	[ 0.11032491 -0.07399439  0.00012064]
92	[ 0.11033084 -0.07703594  0.00011755]
93	[ 1.1032964e-01 -8.0080181e-02  1.0795471e-04]
94	[ 1.1033539e-01 -8.3125390e-02  1.0690031e-04]
95	[ 1.1033330e-01 -8.6173475e-02  9.5609612e-05]
96	[ 1.1033852e-01 -8.9221343e-02  9.7451382e-05]
97	[ 1.10336244e-01 -9.22724828e-02  8.35085593e-05]
98	[ 1.1034025e-01 -9.5322207e-02  8.9396279e-05]
99	[ 1.1033889e-01 -9.8375790e-02  7.1564289e-05]
100	[ 1.10340551e-01 -1.01426736e-01  8.29377022e-05]
101	[ 1.10341705e-01 -1.04482308e-01  5.97516228e-05]
102	[ 1.1033935e-01 -1.0753402e-01  7.8239624e-05]
103	[ 1.10345244e-01 -1.10591270e-01  4.81814859e-05]
104	[ 1.10336654e-01 -1.13643549e-01  7.52629785e-05]
105	[ 1.1035014e-01 -1.1670232e-01  3.7168844e-05]
106	[ 1.10332847e-01 -1.19755134e-01  7.33004927e-05]
107	[ 1.1035705e-01 -1.2281541e-01  2.7132262e-05]
108	[ 1.10329315e-01 -1.25868857e-01  7.02541947e-05]
109	[ 1.10367075e-01 -1.28930569e-01  1.75380628e-05]
110	[ 1.1032986e-01 -1.3168696e-01  6.1457460e-05]
